Image,Width(pixels),Height(pixels),Height_Width_Ratio,name,locality,number,specimens_number,Longtitude_convert,Latitude_convert,notes
mitchellae_cumbebin-swamp_c.584217_01.jpg,4320,3872,0.896296296,mitchellae,C.mbebin-swamp,C.584217,1,153.6044444,-28.64555556,
mitchellae_kingscliff_c.584239.001_01.jpg,4010,3350,0.835411471,mitchellae,kingscliff,C.584239.001,1,153.5713889,-28.25944444,
mitchellae_mullumbimby_c.272200_01.jpg,4774,4697,0.983870968,mitchellae,mullumbimby,C.272200,1,153.428056,-28.573056,
mitchellae_mullumbimby_c.348956_01.jpg,6394,5474,0.856115108,mitchellae,mullumbimby,C.348956,1,153.428056,-28.573056,
mitchellae_richmond-lower_c.003392_01.jpg,5071,4829,0.952277657,mitchellae,richmond-lower,C.003392,1,153.516667,-28.85,
mitchellae_richmond-lower_c.003392_02.jpg,4408,4264,0.967332123,mitchellae,richmond-lower,C.003392,2,153.516667,-28.85,
mitchellae_richmond-river_c.112232_01.jpg,3744,3296,0.88034188,mitchellae,richmond-river,C.112232,1,153.56,-28.87666667,
mitchellae_richmond-river_c.112232_02.jpg,3888,3888,1,mitchellae,richmond-river,C.112232,2,153.56,-28.87666667,
mitchellae_richmond-river_c.112233_01.jpg,5357,5302,0.98973306,mitchellae,richmond-river,C.112233,1,153.56,-28.87666667,
mitchellae_richmond-river_c.112234_01.jpg,4730,5016,1.060465116,mitchellae,richmond-river,C.112234,1,153.56,-28.87666667,
mitchellae_richmond-river_c.112234_02.jpg,4560,4608,1.010526316,mitchellae,richmond-river,C.112234,2,153.56,-28.87666667,
mitchellae_suffolk-park_c.371958_01.jpg,4600,5152,1.12,mitchellae,suffolk-park,C.371958,1,153.609722,-28.680833,
mitchellae_tweed_c.117022_01.jpg,4466,5291,1.184729064,mitchellae,tweed,C.117022,1,153.4966667,-28.27305556,
mitchellae_tweed_c.117022_02.jpg,5088,4864,0.955974843,mitchellae,tweed,C.117022,2,153.4966667,-28.27305556,
mitchellae_tweed_c.129335_01.jpg,4862,4070,0.837104072,mitchellae,tweed,C.129335,1,153.4966667,-28.27305556,
mitchellae_tweed_c.158030_01.jpg,4598,4884,1.062200957,mitchellae,tweed,C.158030,1,153.4966667,-28.27305556,
mitchellae_tweed_c.158030_02.jpg,5304,4624,0.871794872,mitchellae,tweed,C.158030,2,153.4966667,-28.27305556,
mitchellae_tweed_c.158030_03.jpg,4480,4784,1.067857143,mitchellae,tweed,C.158030,3,153.4966667,-28.27305556,
mitchellae_tweed_c.163390_01.jpg,4818,4598,0.9543379,mitchellae,tweed,C.163390,1,153.4966667,-28.27305556,
mitchellae_wilsons-river_c.121725_01.jpg,5496,5176,0.941775837,mitchellae,wilsons-river,C.121725,1,153.45,-28.58333333,
