Species,CodeNumber,Longtitude_convert,Latitude_convert,Museum,Museum
novaehollandiae,C.104898.001,152.45,-32.32666667,AM,
novaehollandiae,C.105160.001,152.4,-30.5,AM,
novaehollandiae,C.168892,151.4266667,-32.11666667,AM,
novaehollandiae,C.105161.001,152.725,-30.375,AM,
novaehollandiae,C.333596,151.7616667,-32.4,AM,
novaehollandiae,C.121699.001,152.3333333,-31.01666667,AM,
novaehollandiae,C.303280.001,152.45,-32.31666667,AM,
novaehollandiae,C.303280.002,152.45,-32.31666667,AM,
novaehollandiae,C.303280,152.45,-32.31666667,AM,
novaehollandiae,C.406944,152.6886111,-31.095,AM,
novaehollandiae,C.165925,151.4166667,-32.11666667,AM,
novaehollandiae,C.348953,152.795,-30.36333333,AM,
novaehollandiae,C.35833,152.335,-31.92,AM,
novaehollandiae,C.473890.001,152.8144444,-30.355,AM,
novaehollandiae,C.348949,151.4697222,-32.12833333,AM,
novaehollandiae,C.348948,152.3863889,-30.505,AM,
novaehollandiae,C.102866,152.4083333,-31.16666667,AM,
novaehollandiae,C.112182.001,151.5916667,-32.09166667,AM,
novaehollandiae,C.105155.001,152.45,-30.55,AM,
novaehollandiae,C.105159.001,152.45,-30.55,AM,
novaehollandiae,C.108564.001,151.4016667,-33.1,AM,
novaehollandiae,C.112195,152.4730556,-30.55,AM,
novaehollandiae,C.587061,152.45,-30.55,AM,
novaehollandiae,C.327,152.95,-30.46666667,AM,
novaehollandiae,C.308491,152.4697222,-31.6,AM,
novaehollandiae,C.308492,152.0808333,-32.06027778,AM,
novaehollandiae,C.339442,152.7,-31.12,AM,
novaehollandiae,C.406945,152.7083333,-31.1,AM,
novaehollandiae,C.137765,152.7075,-29.03583333,AM,
novaehollandiae,C.171458,152.3241667,-31.20833333,AM,
novaehollandiae,C.171463,152.1763889,-31.23,AM,
novaehollandiae,C.128307,152.6916667,-30.19194444,AM,
novaehollandiae,C.128360,152.7394444,-30.38916667,AM,
novaehollandiae,C.128410,152.7877778,-30.35777778,AM,
novaehollandiae,C.128910,152.3513889,-30.98527778,AM,
novaehollandiae,C.129490,152.4586111,-29.35166667,AM,
novaehollandiae,C.121707,152.3333333,-31.01666667,AM,
novaehollandiae,C.112170,152.3897222,-30.50305556,AM,
novaehollandiae,C.407779,152.3958333,-30.61666667,AM,
novaehollandiae,C.348947,152.7241667,-30.37305556,AM,
novaehollandiae,C.348950,152.725,-30.375,AM,
novaehollandiae,C.348952,152.4,-31.61666667,AM,
sp1,C.477014.001,150.1633333,-30.28083333,AM,
novaehollandiae,C.112196,152.4,-30.5,AM,
novaehollandiae,C.105162.001,151.4,-32.03333333,AM,
novaehollandiae,C.444867,152.2911111,-31.61361111,AM,
novaehollandiae,C.112175,152.0833333,-32.7,AM,
novaehollandiae,C.375315,152.7891667,-30.43972222,AM,
novaehollandiae,C.465648.001,152.515,-30.48305556,AM,
novaehollandiae,C.465648.002,152.515,-30.48305556,AM,
novaehollandiae,C.465648,152.515,-30.48305556,AM,
novaehollandiae,C.24546,152.725,-30.375,AM,
novaehollandiae,C.31147,152.725,-30.375,AM,
novaehollandiae,C.575474,151.6077778,-31.34888889,AM,
novaehollandiae,C.575291,152.0333333,-30.53166667,AM,
novaehollandiae,C.575475,152.0333333,-30.53166667,AM,
novaehollandiae,C.575293,151.9336111,-30.66611111,AM,
novaehollandiae,C.575292,152.2480556,-31.37194444,AM,
novaehollandiae,C.575476,152.2480556,-31.37194444,AM,
novaehollandiae,C.575477,152.175,-31.41388889,AM,
novaehollandiae,C.589362,152.2311111,-29.55305556,AM,
novaehollandiae,C.589238,152.2311111,-29.55305556,AM,
novaehollandiae,C.590508,152.7833333,-30.25,AM,
novaehollandiae,C.590532,152.5519444,-30.68,AM,
novaehollandiae,C.590548,152.5380556,-30.54388889,AM,
novaehollandiae,C.590768,152.5380556,-30.54388889,AM,
novaehollandiae,C.590610,152.395,-30.95694444,AM,
novaehollandiae,C.593275,152.1411111,-31.66611111,AM,
novaehollandiae,C.593269,152.1430556,-31.66694444,AM,
novaehollandiae,C.593231,152.2661111,-31.36888889,AM,
novaehollandiae,C.593228,152.2619444,-31.37888889,AM,
novaehollandiae,C.591163,152.395,-31.56694444,AM,
novaehollandiae,C.593219,152.395,-31.56694444,AM,
novaehollandiae,C.591094,152.7580556,-31.17888889,AM,
novaehollandiae,C.591071,152.3530556,-30.98388889,AM,
novaehollandiae,C.591343,152.9480556,-30.78694444,AM,
novaehollandiae,C.591344.001,152.9480556,-30.78694444,AM,
novaehollandiae,C.591344,152.9480556,-30.78694444,AM,
novaehollandiae,C.591038,152.7788889,-30.87888889,AM,
novaehollandiae,C.591332,152.7788889,-30.87888889,AM,
novaehollandiae,C.591016,152.6888889,-31.09388889,AM,
novaehollandiae,C.591318,152.8211111,-31.13111111,AM,
novaehollandiae,C.590975,152.4380556,-30.78388889,AM,
novaehollandiae,C.601969,152.7697222,-30.84527778,AM,
novaehollandiae,C.271927 ,150.2052778,-31.82166667,AM,
novaehollandiae,C.271928 ,150.2022222,-31.82305556,AM,
sp1,C.478667 ,150.1708333,-30.29305556,AM,
richmondiana,C.53790,153.1666667,-27.91666667,AM,
richmondiana,C.100667,153.1666667,-27.91666667,AM,
richmondiana,C.112146,153.2697222,-28.4,AM,
richmondiana,C.107143.001,153.1888889,-28.19611111,AM,
richmondiana,C.474704,153.35,-29.06666667,AM,
richmondiana,C.474709,152.7675,-27.33472222,AM,
richmondiana,C.474745,153.2716667,-28.14361111,AM,
richmondiana,C.112143,153.4655556,-28.72833333,AM,
richmondiana,C.76402,153.2697222,-28.4,AM,
