Image,Width(pixels),Height(pixels),Width,Height,Height_Width_Ratio,name,locality,number,specimens_number,Longtitude_convert,Latitude_convert,notes
novaehollandiae_morisset_c.108564_01.jpg,4224,3584,4.224,3.584,0.848484848,novaehollandiae,morisset,C.108564,1,151.4016667,-33.1,
novaehollandiae_na_NHM1977032_syntype.jpg,3543,2835,3.543,2.835,0.800169348,novaehollandiae,na,NHM1977032,syntype,NA,NA,
novaehollandiae_new-england_c.033227_01.jpg,4840,3410,4.84,3.41,0.704545455,novaehollandiae,new-england,C.033227,1,152.95,-30.46666667,
novaehollandiae_new-england_c.112171_01.jpg,4554,3718,4.554,3.718,0.816425121,novaehollandiae,new-england,C.112171,1,152.5833333,-30.40833333,
novaehollandiae_new-england_c.272196_01.jpg,4169,3751,4.169,3.751,0.899736148,novaehollandiae,new-england,C.272196,1,152.532778,-30.468611,
novaehollandiae_new-england_c.465639_01.jpg,4422,4070,4.422,4.07,0.92039801,novaehollandiae,new-england,C.465639,1,152.5327778,-30.46861111,
novaehollandiae_new-england_c.465644_01.jpg,4520,3840,4.52,3.84,0.849557522,novaehollandiae,new-england,C.465644,1,152.5327778,-30.46861111,
novaehollandiae_newcastle_c.033229_01.jpg,4976,3696,4.976,3.696,0.742765273,novaehollandiae,newcastle,C.033229,1,151.7333333,-32.86666667,
novaehollandiae_newcastle_c.033229_02.jpg,4608,3648,4.608,3.648,0.791666667,novaehollandiae,newcastle,C.033229,2,151.7333333,-32.86666667,
novaehollandiae_ngambaa_c.272194_01.jpg,4240,3680,4.24,3.68,0.867924528,novaehollandiae,ngambaa,C.272194,1,152.778889,-30.878889,
novaehollandiae_nuglin_c.575474_01.jpg,4994,4532,4.994,4.532,0.907488987,novaehollandiae,nuglin,C.575474,1,151.6077778,-31.34888889,
novaehollandiae_port-stephens_c.112175_01.jpg,4125,3817,4.125,3.817,0.925333333,novaehollandiae,port-stephens,C.112175,1,152.0833333,-32.7,
novaehollandiae_port-stephens_c.112175_02.jpg,3744,3784,3.744,3.784,1.010683761,novaehollandiae,port-stephens,C.112175,2,152.0833333,-32.7,
novaehollandiae_port-stephens_c.112175_03.jpg,4565,3674,4.565,3.674,0.804819277,novaehollandiae,port-stephens,C.112175,3,152.0833333,-32.7,
novaehollandiae_tapin-tops_c.272197_01.jpg,4304,3624,4.304,3.624,0.842007435,novaehollandiae,tapin-tops,C.272197,1,152.143056,-31.666944,
novaehollandiae_tapin-tops_c.272197_02.jpg,4704,3664,4.704,3.664,0.778911565,novaehollandiae,tapin-tops,C.272197,2,152.143056,-31.666944,
novaehollandiae_tapin-tops_c.593269_01.jpg,4176,3744,4.176,3.744,0.896551724,novaehollandiae,tapin-tops,C.593269,1,152.1430556,-31.66694444,
novaehollandiae_taree_c.033226_01.jpg,4301,3333,4.301,3.333,0.774936061,novaehollandiae,taree,C.033226,1,152.3666667,-31.86666667,
novaehollandiae_taree_c.035833_01.jpg,4504,3336,4.504,3.336,0.740674956,novaehollandiae,taree,C.035833,1,152.335,-31.92,
novaehollandiae_taree_c.040684_01.jpg,4224,3663,4.224,3.663,0.8671875,novaehollandiae,taree,C.040684,1,152.2383333,-31.59805556,
novaehollandiae_taree_c.075171_01.jpg,3883,3344,3.883,3.344,0.861189802,novaehollandiae,taree,C.075171,1,152.3808333,-31.87083333,
novaehollandiae_taree_c.091795_01.jpg,4272,3584,4.272,3.584,0.838951311,novaehollandiae,taree,C.091795,1,152.3666667,-31.86666667,
novaehollandiae_taree_c.109931_01.jpg,4323,3080,4.323,3.08,0.712468193,novaehollandiae,taree,C.109931,1,152.2383333,-31.59805556,
novaehollandiae_taree_c.153261_01.jpg,4392,3584,4.392,3.584,0.816029144,novaehollandiae,taree,C.153261,1,152.526667,-31.778333,
novaehollandiae_taree_c.174783_01.jpg,4456,3568,4.456,3.568,0.800718133,novaehollandiae,taree,C.174783,1,151.7833333,-31.625,
novaehollandiae_taree_c.272202_01.jpg,3559,3586,3.559,3.586,1.007586401,novaehollandiae,taree,C.272202,1,152.380833,-31.870833,
novaehollandiae_upper-bellinger_c.033228_01.jpg,4807,4037,4.807,4.037,0.839816934,novaehollandiae,upper-bellinger,C.033228,1,152.380833,-30.45833333,
novaehollandiae_upper-bellinger_c.033228_02.jpg,5760,4656,5.76,4.656,0.808333333,novaehollandiae,upper-bellinger,C.033228,2,152.380833,-30.45833333,
novaehollandiae_wallignat_c.158005_01.jpg,4392,3232,4.392,3.232,0.735883424,novaehollandiae,wallignat,C.158005,1,152.4416667,-32.31138889,
novaehollandiae_wallis_c.112169_01.jpg,4620,3619,4.62,3.619,0.783333333,novaehollandiae,wallis,C.112169,1,152.4833333,-32.23333333,
novaehollandiae_wallis_c.112169_02.jpg,4059,3355,4.059,3.355,0.826558266,novaehollandiae,wallis,C.112169,2,152.4833333,-32.23333333,
novaehollandiae_wallis_c.112169_03.jpg,4565,3344,4.565,3.344,0.73253012,novaehollandiae,wallis,C.112169,3,152.4833333,-32.23333333,
novaehollandiae_wallis_c.112199_01.jpg,4565,3509,4.565,3.509,0.768674699,novaehollandiae,wallis,C.112199,1,152.5480556,-32.335,
novaehollandiae_wallis_c.112199_02.jpg,4216,3920,4.216,3.92,0.929791271,novaehollandiae,wallis,C.112199,2,152.5480556,-32.335,
novaehollandiae_wauchop_c.105163_01.jpg,3664,3218,3.664,3.218,0.878275109,novaehollandiae,wauchop,C.105163,1,152.3897222,-31.19666667,
novaehollandiae_wauchope_c.107272_01.jpg,3432,3416,3.432,3.416,0.995337995,novaehollandiae,wauchope,C.107272,1,152.2766667,-31.13472222,
novaehollandiae_wauchope_c.158019_01.jpg,4008,3224,4.008,3.224,0.804391218,novaehollandiae,wauchope,C.158019,1,152.4772222,-31.20972222,
novaehollandiae_wauchope_c.158019_02.jpg,3696,3344,3.696,3.344,0.904761905,novaehollandiae,wauchope,C.158019,2,152.4772222,-31.20972222,
